PDBID	CHAIN	EMBID	size	Tm	Te	taxid	organism	group
2F6S	A	AAD08198.1	201.0		37.0	85962.0	helicobacter_pylori	Bacteria
3H86	B	CAF30587.1			37.0	39152.0	methanococcus_maripaludis	Archaea
2ZZS	A	BAC60563.1			31.0	223926.0	vibrio_parahaemolyticus	Bacteria
2HLJ	A	AAN65932.1	157.0		27.0	160488.0	pseudomonas_putida	Bacteria
3CXN	B	AAD07132.1						
1ID1	A	AAB60119.1	153.0		37.0	562.0	escherichia_coli	Bacteria
3TX2	A	CAM62842.1	251.0		35.0	561007.0	mycobacterium_abscessus	Bacteria
1R9D	A	AFH58722.1	787.0		36.5	1492.0	clostridium_butyricum	Bacteria
2OX1	A	AAB91004.1	196.0		81.0	2234.0	archaeoglobus_fulgidus	Archaea
3WP9	A	ABH08428.1	226.0		15.0	397414.0	colwellia_sp	Bacteria
3ETO	A	AAA60614.1	242.0		37.0	9606.0	homo_sapiens	Eukaryota
3BQP	A	CAA40392.1	80.0		37.0	9606.0	homo_sapiens	Eukaryota
2PU9	C	CAA33082.1	111.0			3562.0	spinacia_oleracea	Eukaryota
4DQZ	A	ABN53966.1	230.0			203119.0	clostridium_thermocellum	Bacteria
2GUM	A	AAA45774.1	628.0			10306.0	human_herpesvirus	Virus
2PPQ	A	AAK86584.1	322.0			176299.0	agrobacterium_fabrum	Bacteria
3W6G	A	BAA30317.1	216.0		95.0	70601.0	pyrococcus_horikoshii	Archaea
3P2J	A	AFP41725.1	191.0		36.0	246196.0	mycobacterium_smegmatis	Bacteria
4HEI	A	AAF95671.1	95.0		36.0	243277.0	vibrio_cholerae	Bacteria
4FPW	A	AAM70339.1	181.0		27.3	1877.0	micromonospora_echinospora	Bacteria
2GM3	A	AAL38611.1	175.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
3EPY	A	BAG53080.1	89.0		37.0	9606.0	homo_sapiens	Eukaryota
4OBO	A	AAD16137.1	332.0		37.0	9606.0	homo_sapiens	Eukaryota
4ROJ	A	CAE45861.1	117.0		37.0	9606.0	homo_sapiens	Eukaryota
4FD5	A	EAT34843.1	222.0			7159.0	aedes_aegypti	Eukaryota
2E3U	A	BAA30678.1	219.0		95.0	70601.0	pyrococcus_horikoshii	Archaea
3ZZL	A	BAB05366.1	70.0		30.0	86665.0	bacillus_halodurans	Bacteria
3GHF	A	AAL20729.1	120.0			99287.0	salmonella_typhimurium	Bacteria
